,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
5481,12637,Bryce McGowens,CHA,20,198.12,79.3786,Nebraska,USA,2022,2,40,46,5.3,2.0,1.2,-9.7,0.025,0.088,0.147,0.519,0.098,2022-23
5482,12638,Bryn Forbes,MIN,29,187.96,92.98636,Michigan State,USA,Undrafted,Undrafted,Undrafted,25,3.6,0.6,0.7,-8.5,0.015,0.04,0.155,0.497,0.087,2022-23
5483,12639,Buddy Boeheim,DET,23,198.12,92.98636,Syracuse,USA,Undrafted,Undrafted,Undrafted,10,1.6,0.6,0.4,2.7,0.022,0.043,0.131,0.287,0.059,2022-23
5484,12640,Buddy Hield,IND,30,193.04,99.79024,Oklahoma,Bahamas,2016,1,6,80,16.8,5.0,2.8,-1.9,0.027,0.132,0.205,0.614,0.131,2022-23
5485,12641,CJ McCollum,NOP,31,190.5,86.18248,Lehigh,USA,2013,1,10,75,20.9,4.4,5.7,1.1,0.021,0.104,0.26,0.541,0.242,2022-23
5486,12642,Cade Cunningham,DET,21,200.66,99.79024,Oklahoma State,USA,2021,1,1,12,19.9,6.2,6.0,-6.1,0.027,0.148,0.287,0.492,0.306,2022-23
5487,12643,Caleb Houstan,ORL,20,203.2,92.98636,Michigan,Canada,2022,2,32,51,3.8,1.9,0.6,-5.3,0.0409999999999999,0.083,0.107,0.508,0.051,2022-23
5488,12644,Braxton Key,DET,26,203.2,102.0582,Virginia,USA,Undrafted,Undrafted,Undrafted,3,1.3,0.3,0.0,-4.5,0.0,0.067,0.091,1.064,0.0,2022-23
5489,12645,Caleb Martin,MIA,27,195.58,92.98636,Nevada,USA,Undrafted,Undrafted,Undrafted,71,9.6,4.8,1.6,0.0,0.044,0.13,0.143,0.5710000000000001,0.082,2022-23
5490,12646,Cam Thomas,BKN,21,190.5,95.25432,Louisiana State,Japan,2021,1,27,57,10.6,1.7,1.4,-1.6,0.009,0.089,0.268,0.5670000000000001,0.133,2022-23
5491,12647,Cameron Johnson,BKN,27,203.2,95.25432,North Carolina,USA,2019,1,11,42,15.5,4.4,1.9,6.6,0.0289999999999999,0.12,0.2019999999999999,0.617,0.099,2022-23
5492,12648,Cameron Payne,PHX,28,185.42,83.007336,Murray State,USA,2015,1,14,48,10.3,2.2,4.5,4.1,0.012,0.1,0.239,0.512,0.308,2022-23
5493,12649,Caris LeVert,CLE,28,198.12,92.98636,Michigan,USA,2016,1,20,74,12.1,3.8,3.9,4.5,0.024,0.105,0.183,0.546,0.182,2022-23
5494,12650,Carlik Jones,CHI,25,182.88,78.92500799999999,Louisville,USA,Undrafted,Undrafted,Undrafted,7,2.9,0.7,0.9,20.7,0.016,0.069,0.153,0.54,0.133,2022-23
5495,12651,Cedi Osman,CLE,28,200.66,104.32616,,Turkey,2015,2,31,77,8.7,2.3,1.5,7.5,0.017,0.1,0.178,0.579,0.107,2022-23
5496,12652,Chance Comanche,POR,27,208.28,95.25432,Arizona,USA,Undrafted,Undrafted,Undrafted,1,7.0,3.0,0.0,-68.1,0.08,0.067,0.14,0.518,0.0,2022-23
5497,12653,Charles Bassey,SAS,22,205.74,104.32616,Western Kentucky,Nigeria,2021,2,53,35,5.7,5.5,1.4,-2.4,0.14,0.2319999999999999,0.152,0.6579999999999999,0.131,2022-23
5498,12654,Chima Moneke,SAC,27,195.58,101.151016,Cal-Davis,Nigeria,Undrafted,Undrafted,Undrafted,2,1.0,1.0,0.5,-57.2,0.25,0.0,0.25,0.347,0.25,2022-23
5499,12655,Cam Reddish,POR,23,200.66,98.429464,Duke,USA,2019,1,10,40,9.7,2.2,1.4,-9.0,0.017,0.07,0.166,0.561,0.085,2022-23
5500,12656,Michael Carter-Williams,ORL,31,195.58,86.18248,Syracuse,USA,2013,1,11,4,4.3,1.3,1.8,-32.4,0.021,0.125,0.191,0.498,0.28,2022-23
5501,12657,Isaiah Mobley,CLE,23,203.2,107.954896,Southern California,USA,2022,2,49,12,2.6,1.7,0.3,19.8,0.053,0.174,0.166,0.521,0.054,2022-23
5502,12658,Isaiah Stewart,DET,22,203.2,113.398,Washington,USA,2020,1,16,50,11.3,8.1,1.4,-8.0,0.078,0.2019999999999999,0.17,0.56,0.073,2022-23
5503,12659,Kenyon Martin Jr.,HOU,22,200.66,97.52228,,USA,2020,2,52,82,12.7,5.5,1.5,-8.0,0.052,0.143,0.16,0.635,0.079,2022-23
5504,12660,Keon Ellis,SAC,23,190.5,79.3786,Alabama,USA,Undrafted,Undrafted,Undrafted,16,1.5,0.5,0.4,-14.3,0.0559999999999999,0.063,0.124,0.629,0.136,2022-23
5505,12661,Keon Johnson,POR,21,190.5,83.91452,Tennessee,USA,2021,1,21,40,4.7,1.1,1.5,-16.2,0.025,0.086,0.237,0.482,0.226,2022-23
5506,12662,Kessler Edwards,SAC,22,200.66,92.079176,Pepperdine,USA,2021,2,44,36,2.8,1.7,0.6,2.2,0.059,0.102,0.119,0.502,0.073,2022-23
5507,12663,Kevin Durant,PHX,34,208.28,108.86208,Texas,USA,2007,1,2,47,29.1,6.7,5.0,6.8,0.012,0.166,0.305,0.677,0.228,2022-23
5508,12664,Kevin Huerter,SAC,24,200.66,89.811216,Maryland,USA,2018,1,19,75,15.2,3.3,2.9,4.5,0.02,0.1,0.1969999999999999,0.617,0.1369999999999999,2022-23
5509,12665,Kevin Knox II,POR,23,200.66,97.52228,Kentucky,USA,2018,1,9,63,6.6,2.8,0.5,-11.4,0.033,0.152,0.175,0.579,0.053,2022-23
5510,12666,Kevin Love,MIA,34,203.2,113.851592,UCLA,USA,2008,1,5,62,8.2,6.4,1.9,3.9,0.05,0.287,0.185,0.5479999999999999,0.131,2022-23
5511,12667,Kevin Porter Jr.,HOU,23,193.04,92.079176,Southern California,USA,2019,1,30,59,19.2,5.3,5.7,-8.3,0.036,0.1169999999999999,0.239,0.565,0.26,2022-23
